Term,RawFrequency,RelativeFrequency,ZScore,ZScoreRatio
gehyrdon,1.0,489.71594,-0.23334979,-1.0
gehæfted,1.0,489.71594,-0.23334979,-1.0
gelome,1.0,489.71594,-0.23334979,-1.0
gelyste,1.0,489.71594,-0.23334979,-1.0
gemang,1.0,489.71594,-0.23334979,-1.0
gemyndig,1.0,489.71594,-0.23334979,-1.0
geneahhe,1.0,489.71594,-0.23334979,-1.0
geniwod,1.0,489.71594,-0.23334979,-1.0
genyðerad,1.0,489.71594,-0.23334979,-1.0
geomor,1.0,489.71594,-0.23334979,-1.0
geomormodum,1.0,489.71594,-0.23334979,-1.0
geond,1.0,489.71594,-0.23334979,-1.0
geonge,1.0,489.71594,-0.23334979,-1.0
georn,1.0,489.71594,-0.23334979,-1.0
georne,1.0,489.71594,-0.23334979,-1.0
gerenode,1.0,489.71594,-0.23334979,-1.0
gerihte,1.0,489.71594,-0.23334979,-1.0
gesceop,1.0,489.71594,-0.23334979,-1.0
geseon,1.0,489.71594,-0.23334979,-1.0
gesiðas,1.0,489.71594,-0.23334979,-1.0
geslegene,1.0,489.71594,-0.23334979,-1.0
gesohte,1.0,489.71594,-0.23334979,-1.0
gespeow,1.0,489.71594,-0.23334979,-1.0
gestyrde,1.0,489.71594,-0.23334979,-1.0
geswiðrod,1.0,489.71594,-0.23334979,-1.0
geswutelod,1.0,489.71594,-0.23334979,-1.0
gesynta,1.0,489.71594,-0.23334979,-1.0
gesæged,1.0,489.71594,-0.23334979,-1.0
gesæled,1.0,489.71594,-0.23334979,-1.0
geunne,1.0,489.71594,-0.23334979,-1.0
gewealdan,1.0,489.71594,-0.23334979,-1.0
geweorðod,1.0,489.71594,-0.23334979,-1.0
gewitan,1.0,489.71594,-0.23334979,-1.0
gewitlocan,1.0,489.71594,-0.23334979,-1.0
geworden,1.0,489.71594,-0.23334979,-1.0
gewrec,1.0,489.71594,-0.23334979,-1.0
geðafian,1.0,489.71594,-0.23334979,-1.0
geðonce,1.0,489.71594,-0.23334979,-1.0
geðrungen,1.0,489.71594,-0.23334979,-1.0
geðungen,1.0,489.71594,-0.23334979,-1.0
gifena,1.0,489.71594,-0.23334979,-1.0
gifeðe,1.0,489.71594,-0.23334979,-1.0
gingran,1.0,489.71594,-0.23334979,-1.0
girwan,1.0,489.71594,-0.23334979,-1.0
gleaw,1.0,489.71594,-0.23334979,-1.0
gleawhydig,1.0,489.71594,-0.23334979,-1.0
glædmode,1.0,489.71594,-0.23334979,-1.0
goda,1.0,489.71594,-0.23334979,-1.0
gode,1.0,489.71594,-0.23334979,-1.0
godes,1.0,489.71594,-0.23334979,-1.0
goldgifan,1.0,489.71594,-0.23334979,-1.0
goldwine,1.0,489.71594,-0.23334979,-1.0
greot,1.0,489.71594,-0.23334979,-1.0
gristbitian,1.0,489.71594,-0.23334979,-1.0
grundas,1.0,489.71594,-0.23334979,-1.0
grunde,1.0,489.71594,-0.23334979,-1.0
guldon,1.0,489.71594,-0.23334979,-1.0
guman,1.0,489.71594,-0.23334979,-1.0
guðfanum,1.0,489.71594,-0.23334979,-1.0
guðfrecan,1.0,489.71594,-0.23334979,-1.0
guðsceorp,1.0,489.71594,-0.23334979,-1.0
gylede,1.0,489.71594,-0.23334979,-1.0
gyrnde,1.0,489.71594,-0.23334979,-1.0
gysterne,1.0,489.71594,-0.23334979,-1.0
gytesalum,1.0,489.71594,-0.23334979,-1.0
gæstes,1.0,489.71594,-0.23334979,-1.0
hafað,1.0,489.71594,-0.23334979,-1.0
halgan,1.0,489.71594,-0.23334979,-1.0
haligan,1.0,489.71594,-0.23334979,-1.0
haligre,1.0,489.71594,-0.23334979,-1.0
hand,1.0,489.71594,-0.23334979,-1.0
hare,1.0,489.71594,-0.23334979,-1.0
hate,1.0,489.71594,-0.23334979,-1.0
heafodgerimes,1.0,489.71594,-0.23334979,-1.0
heafodweardas,1.0,489.71594,-0.23334979,-1.0
healdend,1.0,489.71594,-0.23334979,-1.0
healfne,1.0,489.71594,-0.23334979,-1.0
hean,1.0,489.71594,-0.23334979,-1.0
heapum,1.0,489.71594,-0.23334979,-1.0
heardne,1.0,489.71594,-0.23334979,-1.0
heardra,1.0,489.71594,-0.23334979,-1.0
heardum,1.0,489.71594,-0.23334979,-1.0
hearran,1.0,489.71594,-0.23334979,-1.0
heaðorincas,1.0,489.71594,-0.23334979,-1.0
heaðorinces,1.0,489.71594,-0.23334979,-1.0
hehsta,1.0,489.71594,-0.23334979,-1.0
hellebryne,1.0,489.71594,-0.23334979,-1.0
helm,1.0,489.71594,-0.23334979,-1.0
helmum,1.0,489.71594,-0.23334979,-1.0
helpe,1.0,489.71594,-0.23334979,-1.0
heofonum,1.0,489.71594,-0.23334979,-1.0
heoldon,1.0,489.71594,-0.23334979,-1.0
heolstran,1.0,489.71594,-0.23334979,-1.0
heorte,1.0,489.71594,-0.23334979,-1.0
heoruwæpnum,1.0,489.71594,-0.23334979,-1.0
heowon,1.0,489.71594,-0.23334979,-1.0
herbuendra,1.0,489.71594,-0.23334979,-1.0
herereaf,1.0,489.71594,-0.23334979,-1.0
herige,1.0,489.71594,-0.23334979,-1.0
heriges,1.0,489.71594,-0.23334979,-1.0
herpað,1.0,489.71594,-0.23334979,-1.0
hete,1.0,489.71594,-0.23334979,-1.0
heteþoncolne,1.0,489.71594,-0.23334979,-1.0
hige,1.0,489.71594,-0.23334979,-1.0
higerofe,1.0,489.71594,-0.23334979,-1.0
higeðoncolre,1.0,489.71594,-0.23334979,-1.0
hildeleoð,1.0,489.71594,-0.23334979,-1.0
hildenædran,1.0,489.71594,-0.23334979,-1.0
hinsiðe,1.0,489.71594,-0.23334979,-1.0
hit,1.0,489.71594,-0.23334979,-1.0
hlaforde,1.0,489.71594,-0.23334979,-1.0
hlanca,1.0,489.71594,-0.23334979,-1.0
hloh,1.0,489.71594,-0.23334979,-1.0
hlummon,1.0,489.71594,-0.23334979,-1.0
hlydde,1.0,489.71594,-0.23334979,-1.0
hlynede,1.0,489.71594,-0.23334979,-1.0
holofernes,1.0,489.71594,-0.23334979,-1.0
hond,1.0,489.71594,-0.23334979,-1.0
hopian,1.0,489.71594,-0.23334979,-1.0
hornbogan,1.0,489.71594,-0.23334979,-1.0
hosp,1.0,489.71594,-0.23334979,-1.0
hraðe,1.0,489.71594,-0.23334979,-1.0
hrefn,1.0,489.71594,-0.23334979,-1.0
hreoh,1.0,489.71594,-0.23334979,-1.0
hreowigmode,1.0,489.71594,-0.23334979,-1.0
hreðre,1.0,489.71594,-0.23334979,-1.0
hringum,1.0,489.71594,-0.23334979,-1.0
hrofe,1.0,489.71594,-0.23334979,-1.0
hrægl,1.0,489.71594,-0.23334979,-1.0
hræw,1.0,489.71594,-0.23334979,-1.0
hund,1.0,489.71594,-0.23334979,-1.0
hupseax,1.0,489.71594,-0.23334979,-1.0
huru,1.0,489.71594,-0.23334979,-1.0
hwealfum,1.0,489.71594,-0.23334979,-1.0
hwearf,1.0,489.71594,-0.23334979,-1.0
hwearfum,1.0,489.71594,-0.23334979,-1.0
hwile,1.0,489.71594,-0.23334979,-1.0
hwæne,1.0,489.71594,-0.23334979,-1.0
hyhsta,1.0,489.71594,-0.23334979,-1.0
hyht,1.0,489.71594,-0.23334979,-1.0
hyhtwynna,1.0,489.71594,-0.23334979,-1.0
hyldo,1.0,489.71594,-0.23334979,-1.0
hyrde,1.0,489.71594,-0.23334979,-1.0
hyrnednebba,1.0,489.71594,-0.23334979,-1.0
hyrsta,1.0,489.71594,-0.23334979,-1.0
hyt,1.0,489.71594,-0.23334979,-1.0
hæfte,1.0,489.71594,-0.23334979,-1.0
hæleða,1.0,489.71594,-0.23334979,-1.0
hæðenes,1.0,489.71594,-0.23334979,-1.0
hæðenra,1.0,489.71594,-0.23334979,-1.0
idesa,1.0,489.71594,-0.23334979,-1.0
innan,1.0,489.71594,-0.23334979,-1.0
inwidda,1.0,489.71594,-0.23334979,-1.0
iudithe,1.0,489.71594,-0.23334979,-1.0
iudithðe,1.0,489.71594,-0.23334979,-1.0
lagon,1.0,489.71594,-0.23334979,-1.0
landbuende,1.0,489.71594,-0.23334979,-1.0
lare,1.0,489.71594,-0.23334979,-1.0
laste,1.0,489.71594,-0.23334979,-1.0
late,1.0,489.71594,-0.23334979,-1.0
lað,1.0,489.71594,-0.23334979,-1.0
laðan,1.0,489.71594,-0.23334979,-1.0
laðost,1.0,489.71594,-0.23334979,-1.0
laðum,1.0,489.71594,-0.23334979,-1.0
leanes,1.0,489.71594,-0.23334979,-1.0
leap,1.0,489.71594,-0.23334979,-1.0
leas,1.0,489.71594,-0.23334979,-1.0
leng,1.0,489.71594,-0.23334979,-1.0
lengran,1.0,489.71594,-0.23334979,-1.0
leoda,1.0,489.71594,-0.23334979,-1.0
leodhatan,1.0,489.71594,-0.23334979,-1.0
leodum,1.0,489.71594,-0.23334979,-1.0
leof,1.0,489.71594,-0.23334979,-1.0
leofan,1.0,489.71594,-0.23334979,-1.0
leohtne,1.0,489.71594,-0.23334979,-1.0
leoman,1.0,489.71594,-0.23334979,-1.0
leton,1.0,489.71594,-0.23334979,-1.0
licgan,1.0,489.71594,-0.23334979,-1.0
life,1.0,489.71594,-0.23334979,-1.0
lindum,1.0,489.71594,-0.23334979,-1.0
lindwerod,1.0,489.71594,-0.23334979,-1.0
lindwiggende,1.0,489.71594,-0.23334979,-1.0
listum,1.0,489.71594,-0.23334979,-1.0
lið,1.0,489.71594,-0.23334979,-1.0
londbuendum,1.0,489.71594,-0.23334979,-1.0
losian,1.0,489.71594,-0.23334979,-1.0
lustum,1.0,489.71594,-0.23334979,-1.0
lyfdon,1.0,489.71594,-0.23334979,-1.0
lyfte,1.0,489.71594,-0.23334979,-1.0
lythwon,1.0,489.71594,-0.23334979,-1.0
lædan,1.0,489.71594,-0.23334979,-1.0
lædde,1.0,489.71594,-0.23334979,-1.0
læðða,1.0,489.71594,-0.23334979,-1.0
læððum,1.0,489.71594,-0.23334979,-1.0
madma,1.0,489.71594,-0.23334979,-1.0
madmas,1.0,489.71594,-0.23334979,-1.0
magon,1.0,489.71594,-0.23334979,-1.0
magoþegnas,1.0,489.71594,-0.23334979,-1.0
manna,1.0,489.71594,-0.23334979,-1.0
manode,1.0,489.71594,-0.23334979,-1.0
maran,1.0,489.71594,-0.23334979,-1.0
maðma,1.0,489.71594,-0.23334979,-1.0
medobyrig,1.0,489.71594,-0.23334979,-1.0
medowerige,1.0,489.71594,-0.23334979,-1.0
medowerigum,1.0,489.71594,-0.23334979,-1.0
medugal,1.0,489.71594,-0.23334979,-1.0
men,1.0,489.71594,-0.23334979,-1.0
meowlan,1.0,489.71594,-0.23334979,-1.0
meowle,1.0,489.71594,-0.23334979,-1.0
metod,1.0,489.71594,-0.23334979,-1.0
metodes,1.0,489.71594,-0.23334979,-1.0
middan,1.0,489.71594,-0.23334979,-1.0
mihton,1.0,489.71594,-0.23334979,-1.0
minra,1.0,489.71594,-0.23334979,-1.0
minum,1.0,489.71594,-0.23334979,-1.0
mod,1.0,489.71594,-0.23334979,-1.0
modig,1.0,489.71594,-0.23334979,-1.0
modiga,1.0,489.71594,-0.23334979,-1.0
modigre,1.0,489.71594,-0.23334979,-1.0
moldan,1.0,489.71594,-0.23334979,-1.0
monðes,1.0,489.71594,-0.23334979,-1.0
morgencollan,1.0,489.71594,-0.23334979,-1.0
morgentid,1.0,489.71594,-0.23334979,-1.0
morðra,1.0,489.71594,-0.23334979,-1.0
morðres,1.0,489.71594,-0.23334979,-1.0
moste,1.0,489.71594,-0.23334979,-1.0
mundbyrd,1.0,489.71594,-0.23334979,-1.0
mundum,1.0,489.71594,-0.23334979,-1.0
murnan,1.0,489.71594,-0.23334979,-1.0
mynton,1.0,489.71594,-0.23334979,-1.0
mæg,1.0,489.71594,-0.23334979,-1.0
mæge,1.0,489.71594,-0.23334979,-1.0
mægeneacen,1.0,489.71594,-0.23334979,-1.0
mægða,1.0,489.71594,-0.23334979,-1.0
mæran,1.0,489.71594,-0.23334979,-1.0
mærost,1.0,489.71594,-0.23334979,-1.0
mærra,1.0,489.71594,-0.23334979,-1.0
mærðe,1.0,489.71594,-0.23334979,-1.0
mæst,1.0,489.71594,-0.23334979,-1.0
mæsta,1.0,489.71594,-0.23334979,-1.0
mæste,1.0,489.71594,-0.23334979,-1.0
nahte,1.0,489.71594,-0.23334979,-1.0
naman,1.0,489.71594,-0.23334979,-1.0
nan,1.0,489.71594,-0.23334979,-1.0
neah,1.0,489.71594,-0.23334979,-1.0
near,1.0,489.71594,-0.23334979,-1.0
nehstan,1.0,489.71594,-0.23334979,-1.0
nemnan,1.0,489.71594,-0.23334979,-1.0
neosan,1.0,489.71594,-0.23334979,-1.0
neowelne,1.0,489.71594,-0.23334979,-1.0
nergend,1.0,489.71594,-0.23334979,-1.0
nergende,1.0,489.71594,-0.23334979,-1.0
nergendes,1.0,489.71594,-0.23334979,-1.0
nest,1.0,489.71594,-0.23334979,-1.0
new,1.0,489.71594,-0.23334979,-1.0
neðde,1.0,489.71594,-0.23334979,-1.0
niht,1.0,489.71594,-0.23334979,-1.0
nihte,1.0,489.71594,-0.23334979,-1.0
nihtes,1.0,489.71594,-0.23334979,-1.0
nimanne,1.0,489.71594,-0.23334979,-1.0
niða,1.0,489.71594,-0.23334979,-1.0
niðe,1.0,489.71594,-0.23334979,-1.0
niðheard,1.0,489.71594,-0.23334979,-1.0
niðhycgende,1.0,489.71594,-0.23334979,-1.0
niðum,1.0,489.71594,-0.23334979,-1.0
nyd,1.0,489.71594,-0.23334979,-1.0
nyde,1.0,489.71594,-0.23334979,-1.0
nymðe,1.0,489.71594,-0.23334979,-1.0
nyste,1.0,489.71594,-0.23334979,-1.0
næfre,1.0,489.71594,-0.23334979,-1.0
nænig,1.0,489.71594,-0.23334979,-1.0
ofercuman,1.0,489.71594,-0.23334979,-1.0
oferdrencte,1.0,489.71594,-0.23334979,-1.0
oferwunnen,1.0,489.71594,-0.23334979,-1.0
onbryrde,1.0,489.71594,-0.23334979,-1.0
onettan,1.0,489.71594,-0.23334979,-1.0
onette,1.0,489.71594,-0.23334979,-1.0
ongean,1.0,489.71594,-0.23334979,-1.0
onhæted,1.0,489.71594,-0.23334979,-1.0
onleah,1.0,489.71594,-0.23334979,-1.0
onwoce,1.0,489.71594,-0.23334979,-1.0
onwriðan,1.0,489.71594,-0.23334979,-1.0
orcas,1.0,489.71594,-0.23334979,-1.0
oretmæcgas,1.0,489.71594,-0.23334979,-1.0
orfeorme,1.0,489.71594,-0.23334979,-1.0
orsawle,1.0,489.71594,-0.23334979,-1.0
oðre,1.0,489.71594,-0.23334979,-1.0
oðþrong,1.0,489.71594,-0.23334979,-1.0
randwiggendra,1.0,489.71594,-0.23334979,-1.0
readum,1.0,489.71594,-0.23334979,-1.0
recene,1.0,489.71594,-0.23334979,-1.0
reocende,1.0,489.71594,-0.23334979,-1.0
reston,1.0,489.71594,-0.23334979,-1.0
reðe,1.0,489.71594,-0.23334979,-1.0
rican,1.0,489.71594,-0.23334979,-1.0
rice,1.0,489.71594,-0.23334979,-1.0
ricne,1.0,489.71594,-0.23334979,-1.0
rihte,1.0,489.71594,-0.23334979,-1.0
roderas,1.0,489.71594,-0.23334979,-1.0
roderum,1.0,489.71594,-0.23334979,-1.0
rofe,1.0,489.71594,-0.23334979,-1.0
rofra,1.0,489.71594,-0.23334979,-1.0
rum,1.0,489.71594,-0.23334979,-1.0
rune,1.0,489.71594,-0.23334979,-1.0
ræda,1.0,489.71594,-0.23334979,-1.0
ræde,1.0,489.71594,-0.23334979,-1.0
ræfndon,1.0,489.71594,-0.23334979,-1.0
salowigpada,1.0,489.71594,-0.23334979,-1.0
sang,1.0,489.71594,-0.23334979,-1.0
sarra,1.0,489.71594,-0.23334979,-1.0
sceacan,1.0,489.71594,-0.23334979,-1.0
sceal,1.0,489.71594,-0.23334979,-1.0
scealcas,1.0,489.71594,-0.23334979,-1.0
scearpne,1.0,489.71594,-0.23334979,-1.0
sceaðe,1.0,489.71594,-0.23334979,-1.0
sceaðena,1.0,489.71594,-0.23334979,-1.0
sceaðum,1.0,489.71594,-0.23334979,-1.0
sceolde,1.0,489.71594,-0.23334979,-1.0
sceotend,1.0,489.71594,-0.23334979,-1.0
scildas,1.0,489.71594,-0.23334979,-1.0
scildburh,1.0,489.71594,-0.23334979,-1.0
scire,1.0,489.71594,-0.23334979,-1.0
scirmæled,1.0,489.71594,-0.23334979,-1.0
sculon,1.0,489.71594,-0.23334979,-1.0
scuras,1.0,489.71594,-0.23334979,-1.0
scurum,1.0,489.71594,-0.23334979,-1.0
scyne,1.0,489.71594,-0.23334979,-1.0
scyppendes,1.0,489.71594,-0.23334979,-1.0
scæron,1.0,489.71594,-0.23334979,-1.0
searoðoncol,1.0,489.71594,-0.23334979,-1.0
searoþoncelra,1.0,489.71594,-0.23334979,-1.0
seceð,1.0,489.71594,-0.23334979,-1.0
secgan,1.0,489.71594,-0.23334979,-1.0
secgas,1.0,489.71594,-0.23334979,-1.0
sende,1.0,489.71594,-0.23334979,-1.0
sendon,1.0,489.71594,-0.23334979,-1.0
side,1.0,489.71594,-0.23334979,-1.0
sigefolce,1.0,489.71594,-0.23334979,-1.0
sigerofe,1.0,489.71594,-0.23334979,-1.0
sigewonge,1.0,489.71594,-0.23334979,-1.0
sigeþufas,1.0,489.71594,-0.23334979,-1.0
sigor,1.0,489.71594,-0.23334979,-1.0
sigore,1.0,489.71594,-0.23334979,-1.0
sigores,1.0,489.71594,-0.23334979,-1.0
sigorlean,1.0,489.71594,-0.23334979,-1.0
sine,1.0,489.71594,-0.23334979,-1.0
sinre,1.0,489.71594,-0.23334979,-1.0
sinum,1.0,489.71594,-0.23334979,-1.0
sittan,1.0,489.71594,-0.23334979,-1.0
siðfate,1.0,489.71594,-0.23334979,-1.0
slegefæge,1.0,489.71594,-0.23334979,-1.0
slogon,1.0,489.71594,-0.23334979,-1.0
slæpe,1.0,489.71594,-0.23334979,-1.0
snelra,1.0,489.71594,-0.23334979,-1.0
snoteran,1.0,489.71594,-0.23334979,-1.0
snotere,1.0,489.71594,-0.23334979,-1.0
sorga,1.0,489.71594,-0.23334979,-1.0
sorgum,1.0,489.71594,-0.23334979,-1.0
sparedon,1.0,489.71594,-0.23334979,-1.0
speow,1.0,489.71594,-0.23334979,-1.0
starian,1.0,489.71594,-0.23334979,-1.0
steape,1.0,489.71594,-0.23334979,-1.0
stedehearde,1.0,489.71594,-0.23334979,-1.0
stiðmoda,1.0,489.71594,-0.23334979,-1.0
stodon,1.0,489.71594,-0.23334979,-1.0
streamas,1.0,489.71594,-0.23334979,-1.0
strælas,1.0,489.71594,-0.23334979,-1.0
styrmde,1.0,489.71594,-0.23334979,-1.0
styrmdon,1.0,489.71594,-0.23334979,-1.0
styrnmode,1.0,489.71594,-0.23334979,-1.0
sum,1.0,489.71594,-0.23334979,-1.0
sumne,1.0,489.71594,-0.23334979,-1.0
sundoryrfes,1.0,489.71594,-0.23334979,-1.0
susle,1.0,489.71594,-0.23334979,-1.0
swatigne,1.0,489.71594,-0.23334979,-1.0
swaðe,1.0,489.71594,-0.23334979,-1.0
sweoran,1.0,489.71594,-0.23334979,-1.0
sweorcendferhðe,1.0,489.71594,-0.23334979,-1.0
sweord,1.0,489.71594,-0.23334979,-1.0
sweot,1.0,489.71594,-0.23334979,-1.0
sweotole,1.0,489.71594,-0.23334979,-1.0
sweotollice,1.0,489.71594,-0.23334979,-1.0
swiðlic,1.0,489.71594,-0.23334979,-1.0
swiðran,1.0,489.71594,-0.23334979,-1.0
swylcne,1.0,489.71594,-0.23334979,-1.0
swyrd,1.0,489.71594,-0.23334979,-1.0
swyrdgeswing,1.0,489.71594,-0.23334979,-1.0
swyðe,1.0,489.71594,-0.23334979,-1.0
swyðor,1.0,489.71594,-0.23334979,-1.0
swæsendo,1.0,489.71594,-0.23334979,-1.0
sy,1.0,489.71594,-0.23334979,-1.0
sylf,1.0,489.71594,-0.23334979,-1.0
sylfes,1.0,489.71594,-0.23334979,-1.0
sylfra,1.0,489.71594,-0.23334979,-1.0
sylfre,1.0,489.71594,-0.23334979,-1.0
symbel,1.0,489.71594,-0.23334979,-1.0
symle,1.0,489.71594,-0.23334979,-1.0
syndon,1.0,489.71594,-0.23334979,-1.0
sæcce,1.0,489.71594,-0.23334979,-1.0
sægde,1.0,489.71594,-0.23334979,-1.0
sæte,1.0,489.71594,-0.23334979,-1.0
sæton,1.0,489.71594,-0.23334979,-1.0
teah,1.0,489.71594,-0.23334979,-1.0
teran,1.0,489.71594,-0.23334979,-1.0
tid,1.0,489.71594,-0.23334979,-1.0
tide,1.0,489.71594,-0.23334979,-1.0
tilian,1.0,489.71594,-0.23334979,-1.0
tiðe,1.0,489.71594,-0.23334979,-1.0
tobredon,1.0,489.71594,-0.23334979,-1.0
togeanes,1.0,489.71594,-0.23334979,-1.0
tohtan,1.0,489.71594,-0.23334979,-1.0
torhtan,1.0,489.71594,-0.23334979,-1.0
torhtlic,1.0,489.71594,-0.23334979,-1.0
torn,1.0,489.71594,-0.23334979,-1.0
torne,1.0,489.71594,-0.23334979,-1.0
toðon,1.0,489.71594,-0.23334979,-1.0
trumne,1.0,489.71594,-0.23334979,-1.0
træf,1.0,489.71594,-0.23334979,-1.0
ufan,1.0,489.71594,-0.23334979,-1.0
unlyfigendes,1.0,489.71594,-0.23334979,-1.0
unlyfigendum,1.0,489.71594,-0.23334979,-1.0
unlædan,1.0,489.71594,-0.23334979,-1.0
unrote,1.0,489.71594,-0.23334979,-1.0
unsofte,1.0,489.71594,-0.23334979,-1.0
unswæslicne,1.0,489.71594,-0.23334979,-1.0
unsyfra,1.0,489.71594,-0.23334979,-1.0
urigfeðera,1.0,489.71594,-0.23334979,-1.0
urnon,1.0,489.71594,-0.23334979,-1.0
ute,1.0,489.71594,-0.23334979,-1.0
wagon,1.0,489.71594,-0.23334979,-1.0
walde,1.0,489.71594,-0.23334979,-1.0
wand,1.0,489.71594,-0.23334979,-1.0
wanna,1.0,489.71594,-0.23334979,-1.0
weagesiðas,1.0,489.71594,-0.23334979,-1.0
wealgate,1.0,489.71594,-0.23334979,-1.0
weall,1.0,489.71594,-0.23334979,-1.0
weallas,1.0,489.71594,-0.23334979,-1.0
wealles,1.0,489.71594,-0.23334979,-1.0
wearde,1.0,489.71594,-0.23334979,-1.0
wende,1.0,489.71594,-0.23334979,-1.0
weorðmynde,1.0,489.71594,-0.23334979,-1.0
werod,1.0,489.71594,-0.23334979,-1.0
weroda,1.0,489.71594,-0.23334979,-1.0
widan,1.0,489.71594,-0.23334979,-1.0
wide,1.0,489.71594,-0.23334979,-1.0
widle,1.0,489.71594,-0.23334979,-1.0
wigena,1.0,489.71594,-0.23334979,-1.0
wiggendum,1.0,489.71594,-0.23334979,-1.0
wiht,1.0,489.71594,-0.23334979,-1.0
willan,1.0,489.71594,-0.23334979,-1.0
wind,1.0,489.71594,-0.23334979,-1.0
winedryhten,1.0,489.71594,-0.23334979,-1.0
wingedrince,1.0,489.71594,-0.23334979,-1.0
winhatan,1.0,489.71594,-0.23334979,-1.0
winsade,1.0,489.71594,-0.23334979,-1.0
wistan,1.0,489.71594,-0.23334979,-1.0
witum,1.0,489.71594,-0.23334979,-1.0
wiðertrod,1.0,489.71594,-0.23334979,-1.0
wlanc,1.0,489.71594,-0.23334979,-1.0
wlance,1.0,489.71594,-0.23334979,-1.0
wlitan,1.0,489.71594,-0.23334979,-1.0
wolcna,1.0,489.71594,-0.23334979,-1.0
womfull,1.0,489.71594,-0.23334979,-1.0
womme,1.0,489.71594,-0.23334979,-1.0
wordum,1.0,489.71594,-0.23334979,-1.0
worhte,1.0,489.71594,-0.23334979,-1.0
worhton,1.0,489.71594,-0.23334979,-1.0
wornum,1.0,489.71594,-0.23334979,-1.0
woruld,1.0,489.71594,-0.23334979,-1.0
woruldbuendra,1.0,489.71594,-0.23334979,-1.0
worulde,1.0,489.71594,-0.23334979,-1.0
wuldorblæd,1.0,489.71594,-0.23334979,-1.0
wuldre,1.0,489.71594,-0.23334979,-1.0
wuldres,1.0,489.71594,-0.23334979,-1.0
wulf,1.0,489.71594,-0.23334979,-1.0
wulfum,1.0,489.71594,-0.23334979,-1.0
wundrum,1.0,489.71594,-0.23334979,-1.0
wunian,1.0,489.71594,-0.23334979,-1.0
wunode,1.0,489.71594,-0.23334979,-1.0
wurdon,1.0,489.71594,-0.23334979,-1.0
wurpon,1.0,489.71594,-0.23334979,-1.0
wyrcean,1.0,489.71594,-0.23334979,-1.0
wyrmsele,1.0,489.71594,-0.23334979,-1.0
wyrmum,1.0,489.71594,-0.23334979,-1.0
wæccende,1.0,489.71594,-0.23334979,-1.0
wælgifre,1.0,489.71594,-0.23334979,-1.0
wælgifrum,1.0,489.71594,-0.23334979,-1.0
wælscel,1.0,489.71594,-0.23334979,-1.0
wæpen,1.0,489.71594,-0.23334979,-1.0
wærlogan,1.0,489.71594,-0.23334979,-1.0
ycan,1.0,489.71594,-0.23334979,-1.0
york,1.0,489.71594,-0.23334979,-1.0
yrre,1.0,489.71594,-0.23334979,-1.0
æfre,1.0,489.71594,-0.23334979,-1.0
æfðoncan,1.0,489.71594,-0.23334979,-1.0
æghwylcne,1.0,489.71594,-0.23334979,-1.0
æghwylcum,1.0,489.71594,-0.23334979,-1.0
ælfscinu,1.0,489.71594,-0.23334979,-1.0
ælmihtig,1.0,489.71594,-0.23334979,-1.0
ænig,1.0,489.71594,-0.23334979,-1.0
ærest,1.0,489.71594,-0.23334979,-1.0
ærðon,1.0,489.71594,-0.23334979,-1.0
æscplegan,1.0,489.71594,-0.23334979,-1.0
æscrofe,1.0,489.71594,-0.23334979,-1.0
ætes,1.0,489.71594,-0.23334979,-1.0
ætsomne,1.0,489.71594,-0.23334979,-1.0
ætywan,1.0,489.71594,-0.23334979,-1.0
ðar,1.0,489.71594,-0.23334979,-1.0
ðeah,1.0,489.71594,-0.23334979,-1.0
ðearf,1.0,489.71594,-0.23334979,-1.0
ðeawum,1.0,489.71594,-0.23334979,-1.0
ðegnas,1.0,489.71594,-0.23334979,-1.0
ðeoden,1.0,489.71594,-0.23334979,-1.0
ðeodguman,1.0,489.71594,-0.23334979,-1.0
ðinenne,1.0,489.71594,-0.23334979,-1.0
ðinges,1.0,489.71594,-0.23334979,-1.0
ðonan,1.0,489.71594,-0.23334979,-1.0
ðreate,1.0,489.71594,-0.23334979,-1.0
ðreatum,1.0,489.71594,-0.23334979,-1.0
ðrym,1.0,489.71594,-0.23334979,-1.0
ðrymmum,1.0,489.71594,-0.23334979,-1.0
ðrynesse,1.0,489.71594,-0.23334979,-1.0
ðurh,1.0,489.71594,-0.23334979,-1.0
ðys,1.0,489.71594,-0.23334979,-1.0
ðysse,1.0,489.71594,-0.23334979,-1.0
þancolmode,1.0,489.71594,-0.23334979,-1.0
þanonne,1.0,489.71594,-0.23334979,-1.0
þeah,1.0,489.71594,-0.23334979,-1.0
þearfendre,1.0,489.71594,-0.23334979,-1.0
þegnas,1.0,489.71594,-0.23334979,-1.0
þegon,1.0,489.71594,-0.23334979,-1.0
þenden,1.0,489.71594,-0.23334979,-1.0
þeoden,1.0,489.71594,-0.23334979,-1.0
þeodguman,1.0,489.71594,-0.23334979,-1.0
þeowen,1.0,489.71594,-0.23334979,-1.0
þing,1.0,489.71594,-0.23334979,-1.0
þohte,1.0,489.71594,-0.23334979,-1.0
þohton,1.0,489.71594,-0.23334979,-1.0
þoledon,1.0,489.71594,-0.23334979,-1.0
þoligende,1.0,489.71594,-0.23334979,-1.0
þon,1.0,489.71594,-0.23334979,-1.0
þoncwyrðe,1.0,489.71594,-0.23334979,-1.0
þonne,1.0,489.71594,-0.23334979,-1.0
þrage,1.0,489.71594,-0.23334979,-1.0
